id,name,released,metacritic,rating,ratings_count,reviews_count,playtime_hours,genres,platforms,esrb_rating,slug,release_year,decade,genre_primary,genre_count,rating_10,composite_score,popularity_log,platform_primary
25097,The Legend of Zelda: Ocarina of Time,1998-11-21,99,4.38,873,882,7,"Action, Adventure, RPG","Nintendo Switch, Nintendo 64",Everyone,the-legend-of-zelda-ocarina-of-time,1998,1990s,Action,3,8.76,94.4,6.773,Nintendo Switch
54751,Soulcalibur,1998-07-30,98,4.38,85,86,6,"Action, Fighting","Xbox One, iOS, Xbox 360, Android, Dreamcast",Not Rated,soulcalibur,1998,1990s,Action,2,8.76,93.8,4.454,Xbox One
407559,Soulcalibur (1998),1998-07-30,98,0.0,0,0,0,Fighting,"Dreamcast, Xbox 360",Teen,soulcalibur-1998,1998,1990s,Fighting,1,0.0,58.8,0.0,Dreamcast
22511,The Legend of Zelda: Breath of the Wild,2017-03-03,97,4.47,3180,3245,121,"Action, Adventure, RPG","Nintendo Switch, Wii U",Everyone 10+,the-legend-of-zelda-breath-of-the-wild,2017,2010s,Action,3,8.94,94.0,8.065,Nintendo Switch
28026,Super Mario Odyssey,2017-10-27,97,4.42,1921,1955,0,"Arcade, Platformer",Nintendo Switch,Everyone 10+,super-mario-odyssey,2017,2010s,Arcade,2,8.84,93.6,7.561,Nintendo Switch
324997,Baldur's Gate III,2023-08-03,97,4.44,1007,1041,20,"Adventure, RPG, Strategy","macOS, PC, Xbox Series S/X, PlayStation 5",Mature,baldurs-gate-3,2023,2020s,Adventure,3,8.88,93.7,6.916,macOS
27024,Super Mario Galaxy,2007-11-01,97,4.35,777,787,28,Platformer,"Nintendo Switch, Wii",Everyone,super-mario-galaxy,2007,2000s,Platformer,1,8.7,93.0,6.657,Nintendo Switch
27036,Super Mario Galaxy 2,2010-05-23,97,4.34,421,430,18,Platformer,"Nintendo Switch, Wii, Wii U",Everyone,super-mario-galaxy-2,2010,2010s,Platformer,1,8.68,92.9,6.045,Nintendo Switch
56123,Metroid Prime,2002-11-17,97,4.35,258,265,2,"Action, Shooter, Adventure","Wii, GameCube",Not Rated,metroid-prime,2002,2000s,Action,3,8.7,93.0,5.557,Wii
28495,Perfect Dark,2000-05-22,97,3.98,176,177,10,"Action, Shooter","Xbox 360, Nintendo 64",Mature,perfect-dark,2000,2000s,Action,2,7.96,90.0,5.176,Xbox 360
28,Red Dead Redemption 2,2018-10-26,96,4.59,5467,5599,21,Action,"PC, PlayStation 4, Xbox One",Mature,red-dead-redemption-2,2018,2010s,Action,1,9.18,94.3,8.607,PC
13537,Half-Life 2,2004-11-16,96,4.48,4092,4120,7,"Action, Shooter","PC, macOS, Xbox 360, Linux, Xbox, Android",Mature,half-life-2,2004,2000s,Action,2,8.96,93.4,8.317,PC
