id,name,released,metacritic,rating,ratings_count,reviews_count,playtime_hours,genres,platforms,esrb_rating,background_image,slug
25097,The Legend of Zelda: Ocarina of Time,1998-11-21,99,4.38,873,882,7,"Action, Adventure, RPG","Nintendo Switch, Nintendo 64",Everyone,https://media.rawg.io/media/games/3a0/3a0c8e9ed3a711c542218831b893a0fa.jpg,the-legend-of-zelda-ocarina-of-time
407559,Soulcalibur (1998),1998-07-30,98,0.0,0,0,0,Fighting,"Dreamcast, Xbox 360",Teen,,soulcalibur-1998
54751,Soulcalibur,1998-07-30,98,4.38,85,86,6,"Action, Fighting","Xbox One, iOS, Xbox 360, Android, Dreamcast",,https://media.rawg.io/media/games/743/7430f1846ba6ce836f169d936c89819e.jpg,soulcalibur
324997,Baldur's Gate III,2023-08-03,97,4.44,1007,1041,20,"Adventure, RPG, Strategy","macOS, PC, Xbox Series S/X, PlayStation 5",Mature,https://media.rawg.io/media/games/699/69907ecf13f172e9e144069769c3be73.jpg,baldurs-gate-3
56123,Metroid Prime,2002-11-17,97,4.35,258,265,2,"Action, Shooter, Adventure","Wii, GameCube",,https://media.rawg.io/media/games/c86/c86bc047ba949959a90fe24209d59439.jpg,metroid-prime
28495,Perfect Dark,2000-05-22,97,3.98,176,177,10,"Action, Shooter","Xbox 360, Nintendo 64",Mature,https://media.rawg.io/media/games/f62/f62d090119e5ff05c59036480123fd83.jpg,perfect-dark
28026,Super Mario Odyssey,2017-10-27,97,4.42,1921,1955,0,"Arcade, Platformer",Nintendo Switch,Everyone 10+,https://media.rawg.io/media/games/267/267bd0dbc496f52692487d07d014c061.jpg,super-mario-odyssey
27036,Super Mario Galaxy 2,2010-05-23,97,4.34,421,430,18,Platformer,"Nintendo Switch, Wii, Wii U",Everyone,https://media.rawg.io/media/games/578/578ff52303d0e2563e28a4149f1485c2.jpeg,super-mario-galaxy-2
27024,Super Mario Galaxy,2007-11-01,97,4.35,777,787,28,Platformer,"Nintendo Switch, Wii",Everyone,https://media.rawg.io/media/games/936/936f0ffac0b3c9f5c8d185f610ed2631.jpg,super-mario-galaxy
22511,The Legend of Zelda: Breath of the Wild,2017-03-03,97,4.47,3180,3245,121,"Action, Adventure, RPG","Nintendo Switch, Wii U",Everyone 10+,https://media.rawg.io/media/games/cc1/cc196a5ad763955d6532cdba236f730c.jpg,the-legend-of-zelda-breath-of-the-wild
401808,Half-Life 2: Update,2015-03-27,96,4.13,126,127,1,Shooter,PC,Mature,https://media.rawg.io/media/screenshots/bb7/bb7463d103dc40f6f3a3c9ac3b4b11a5.jpg,half-life-2-update
327239,The Legend of Zelda: Tears of the Kingdom,2023-05-12,96,4.38,481,495,0,"Action, Adventure",Nintendo Switch,Everyone 10+,https://media.rawg.io/media/games/556/55684bfd048706f4266d331d70050b37.jpg,the-legend-of-zelda-breath-of-the-wild-sequel
57842,Tekken 3,1997-03-20,96,4.37,560,561,1,Fighting,PlayStation,,https://media.rawg.io/media/games/4aa/4aa1440932f4a12d9d0ea70a5e2164f6.jpg,tekken-3
54403,GoldenEye 007 (1997),1997-08-23,96,4.37,197,201,0,Shooter,Nintendo 64,,https://media.rawg.io/media/games/5a1/5a145fe3002fc988140f7f00edcb9715.jpg,goldeneye-007-1997
52995,Gran Turismo,1997-12-22,96,4.33,108,109,0,Racing,PlayStation,,https://media.rawg.io/media/games/5ac/5ac568dcf73aedba140bcca2a8a5eb09.jpg,gran-turismo
52370,Metal Gear Solid 2: Sons of Liberty,2001-11-12,96,4.34,559,566,12,"Action, Shooter","PlayStation 2, PlayStation 3, PS Vita, Xbox 360, Xbox",Mature,https://media.rawg.io/media/games/0f1/0f105a3d3ba6225269c4a08b43ecbb73.jpg,metal-gear-solid-2-sons-of-liberty
22513,Uncharted 2: Among Thieves,2009-10-13,96,4.38,1799,1819,13,"Action, Shooter","PlayStation 4, PlayStation 3",Teen,https://media.rawg.io/media/games/74b/74b239f6ef0216a2f66e652d54abb2e6.jpg,uncharted-2-among-thieves
18080,Half-Life,1998-11-19,96,4.38,2438,2462,3,"Action, Shooter","Linux, macOS, PC, Dreamcast, PlayStation 2",Mature,https://media.rawg.io/media/games/6c5/6c55e22185876626881b76c11922b073.jpg,half-life
13537,Half-Life 2,2004-11-16,96,4.48,4092,4120,7,"Action, Shooter","PC, macOS, Xbox 360, Linux, Xbox, Android",Mature,https://media.rawg.io/media/games/b8c/b8c243eaa0fbac8115e0cdccac3f91dc.jpg,half-life-2
4286,BioShock,2007-08-21,96,4.36,3359,3403,3,"Action, Shooter","PlayStation 3, macOS, PC, Xbox 360",Mature,https://media.rawg.io/media/games/bc0/bc06a29ceac58652b684deefe7d56099.jpg,bioshock
28,Red Dead Redemption 2,2018-10-26,96,4.59,5467,5599,21,Action,"PC, PlayStation 4, Xbox One",Mature,https://media.rawg.io/media/games/511/5118aff5091cb3efec399c808f8c598f.jpg,red-dead-redemption-2
378578,Grand Theft Auto IV: Complete Edition,2010-10-27,95,4.57,100,101,0,"Action, Adventure","PC, PlayStation 3, Xbox 360",Adults Only,https://media.rawg.io/media/screenshots/e59/e59cc96f38cc93af5a396173878018d7.jpg,grand-theft-auto-iv-complete-edition
364800,The Legend of Zelda: Collector's Edition,2003-11-07,95,4.27,11,11,0,"Action, Adventure, RPG",GameCube,Everyone,https://media.rawg.io/media/screenshots/253/253167e239ab310805c10d41e9fecbbe.jpg,the-legend-of-zelda-collectors-edition
326243,Elden Ring,2022-02-25,95,4.39,1447,1491,62,"Action, RPG","PC, Xbox One, PlayStation 4, Xbox Series S/X, PlayStation 5",Mature,https://media.rawg.io/media/games/b29/b294fdd866dcdb643e7bab370a552855.jpg,elden-ring
45958,XCOM 2: War of the Chosen,2017-08-29,95,4.4,232,236,0,Strategy,"PlayStation 4, Linux, macOS, PC, Xbox One",Teen,https://media.rawg.io/media/games/824/8244534a6db2180e177271cebb9c002f.jpg,xcom-2-war-of-the-chosen
30799,Baldur's Gate II: Shadows of Amn,2000-09-21,95,4.28,153,156,1,"RPG, Strategy","Android, PC, macOS",Teen,https://media.rawg.io/media/games/c16/c160077f8977cb22f14e56408c1560ef.jpg,baldurs-gate-ii-shadows-of-amn
25924,The Legend of Zelda: Majora's Mask,2000-04-27,95,4.33,419,424,23,"Action, Adventure","Nintendo Switch, Nintendo 64",Everyone 10+,https://media.rawg.io/media/games/b3c/b3c209cd49aae8a469a59b79b54dc599.jpg,the-legend-of-zelda-majoras-mask
25096,The Legend of Zelda: A Link to the Past,1991-11-21,95,4.35,579,586,28,"Action, Adventure","Wii, Game Boy Advance, SNES, Nintendo Switch, Nintendo 3DS, Wii U",Everyone,https://media.rawg.io/media/games/087/08727beb32c364d30e8b2a1aa8595f8e.jpg,the-legend-of-zelda-a-link-to-the-past
10073,Divinity: Original Sin 2,2017-09-14,95,4.38,1666,1690,22,"RPG, Strategy","PlayStation 4, Nintendo Switch, PC, Xbox One",Mature,https://media.rawg.io/media/games/424/424facd40f4eb1f2794fe4b4bb28a277.jpg,divinity-original-sin-2
4544,Red Dead Redemption,2010-05-18,95,4.42,2199,2220,6,"Action, Shooter","PlayStation 4, PC, Xbox Series S/X, PlayStation 5, Nintendo Switch, Xbox One, Xbox 360, PlayStation 3",Mature,https://media.rawg.io/media/games/686/686909717c3aa01518bc42ae2bf4259e.jpg,red-dead-redemption
4459,Grand Theft Auto IV,2008-04-29,95,4.26,3100,3135,10,"Action, Adventure","Xbox 360, PC, PlayStation 3, Xbox One",Mature,https://media.rawg.io/media/games/4a0/4a0a1316102366260e6f38fd2a9cfdce.jpg,grand-theft-auto-iv
